link,name
https://news.ycombinator.com,
https://robins.one/notes/uninstall-the-nightowl-app-now.html,Uninstall the NightOwl macOS app now
https://downfall.page/,Downfall Attacks
https://pr.tsmc.com/english/news/3049,"TSMC, Bosch, Infineon, and NXP to build fab in Germany"
https://dukope.itch.io/lcd-please,"LCD, Please – de-make of “Papers, please”, celebrating 10 years since launch"
https://jrhawley.ca/2023/08/07/blocked-by-cloudflare,Blocked by Cloudflare
https://www.makeworld.space/2023/08/bye_gemini.html,"Bye, Gemini"
https://developers.googleblog.com/2023/08/introducing-project-idx-experiment-to-improve-full-stack-multiplatform-app-development.html,"Project IDX, an Experiment to Improve Full-Stack, Multiplatform App Development"
https://www.adriancooney.ie/blog/web-scraping-via-javascript-heap-snapshots,Web Scraping via JavaScript Runtime Heap Snapshots (2022)
https://careers.snapeda.com/o/engineering-lead-ai,SnapEDA (YC S15) is hiring AI lead for electronics copilot in Bay Area
https://airbyte.com/tutorials/chat-with-your-data-using-openai-pinecone-airbyte-and-langchain,"Show HN: Chat with your data using LangChain, Pinecone, and Airbyte"
https://bruces.medium.com/homo-sapiens-declared-extinct-by-bruce-sterling-1999-cc8b0f94b195,Homo sapiens declared extinct (1999)
https://idx.dev/,Project IDX
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9944251/,Dark microbiome in Atacama fossil delta unveils Mars life detection limits
https://www.magicearth.com/crowd-sourced-traffic/,Magic Earth: OSM based map and routing with crowd sourced traffic data
https://github.com/huggingface/candle,Candle: Torch Replacement in Rust
https://stability.ai/blog/stablecode-llm-generative-ai-coding,StableCode
https://comsec.ethz.ch/research/microarch/inception/,Inception: A simple XOR can cause a Microarchitectural Stack Overflow
https://chimeraos.org/,ChimeraOS: Instantly turn any PC into a gaming console
https://www.ory.dev/global-identity-and-access-management-multi-region/,Blueprint for a distributed multi-region IAM with Go and CockroachDB
https://www.economist.com/business/2023/08/07/how-real-is-americas-chipmaking-renaissance,How real is America’s chipmaking renaissance?
https://github.com/simonmesmith/agentflow,Show HN: Agentflow – Run Complex LLM Workflows from Simple JSON
https://google.github.io/typograms/,Typograms: A definition and renderer for ASCII diagrams
https://friendlycaptcha.com/,Friendly Captcha – GDPR-Compliant Bot Protection
https://en.wikipedia.org/wiki/Longest-lasting_light_bulbs,Longest-lasting incandescent light bulbs
https://www.preprints.org/manuscript/202308.0148/v1,GPT-4 can't reason
https://www.eff.org/deeplinks/2023/08/your-computer-should-say-what-you-tell-it-say-1,Your computer should say what you tell it to say
https://www.washingtonpost.com/media/2023/08/01/news-avoid-depressing/,Do you avoid the news? You’re in growing company
https://www.alexanderpiano.nz/page/the-alexander-piano,The Alexander Piano
https://go.dev/doc/go1.21,Go 1.21 Released
https://github.com/HackerNews/API,API
https://www.ycombinator.com/legal/,Legal
https://www.ycombinator.com/apply/,Apply to YC
